,Rank,Title,Score,URL
169,170,Doupo Cangqiong Nian Fan,"8.44
",https://myanimelist.net/anime/51039/Doupo_Cangqiong__Nian_Fan
170,171,Grand Blue,"8.44
",https://myanimelist.net/anime/37105/Grand_Blue
171,172,Haikyuu ,"8.44
",https://myanimelist.net/anime/20583/Haikyuu
172,173,JoJo no Kimyou na Bouken Part 3 Stardust Crusaders Egypt hen,"8.44
",https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen
173,174,Karakai Jouzu no Takagi san Movie,"8.44
",https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
174,175,Kimetsu no Yaiba,"8.44
",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
175,176,Mushoku Tensei II Isekai Ittara Honki Dasu Part 2,"8.43
",https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2
176,177,Re Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"8.43
",https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
177,178,Bungou Stray Dogs 4th Season,"8.43
",https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
178,179,Golden Kamuy 3rd Season,"8.43
",https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
179,180,Gintama Yorinuki Gintama san on Theater 2D,"8.42
",https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
180,181,Hunter x Hunter,"8.42
",https://myanimelist.net/anime/136/Hunter_x_Hunter
181,182,Tian Guan Cifu,"8.42
",https://myanimelist.net/anime/40730/Tian_Guan_Cifu
182,183,Wu Liuqi Xuanwu Guo Pian,"8.42
",https://myanimelist.net/anime/45556/Wu_Liuqi__Xuanwu_Guo_Pian
183,184,Kono Oto Tomare Part 2,"8.42
",https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
184,185,Kono Subarashii Sekai ni Shukufuku wo Movie Kurenai Densetsu,"8.42
",https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
185,186,Koukaku Kidoutai Stand Alone Complex,"8.42
",https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
186,187,Mononoke,"8.42
",https://myanimelist.net/anime/2246/Mononoke
187,188,Mushishi Zoku Shou Odoro no Michi,"8.42
",https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
188,189,Natsume Yuujinchou Movie Utsusemi ni Musubu,"8.42
",https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
189,190,Saenai Heroine no Sodatekata Fine,"8.42
",https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
190,191,Jujutsu Kaisen 0 Movie,"8.41
",https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
191,192,Saiki Kusuo no Ψ nan,"8.41
",https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
192,193,Saiki Kusuo no Ψ nan 2,"8.41
",https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
193,194,Shingeki no Kyojin Kuinaki Sentaku,"8.41
",https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
194,195,Violet Evergarden Gaiden Eien to Jidou Shuki Ningyou,"8.41
",https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
195,196,Kaguya sama wa Kokurasetai Tensai tachi no Renai Zunousen,"8.40
",https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
196,197,Kamisama Hajimemashita Kako hen,"8.40
",https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen
197,198,Natsume Yuujinchou Roku Specials,"8.40
",https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials
198,199,Karakai Jouzu no Takagi san 3,"8.39
",https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
199,200,Major S5,"8.39
",https://myanimelist.net/anime/5028/Major_S5
200,201,Ramayana The Legend of Prince Rama,"8.39
",https://myanimelist.net/anime/4921/Ramayana__The_Legend_of_Prince_Rama
201,202,Blue Giant,"8.39
",https://myanimelist.net/anime/50183/Blue_Giant
202,203,Girls Band Cry,"8.39
",https://myanimelist.net/anime/55102/Girls_Band_Cry
203,204,Houseki no Kuni,"8.39
",https://myanimelist.net/anime/35557/Houseki_no_Kuni
204,205,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"8.39
",https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
205,206,Vivy Fluorite Eye s Song,"8.39
",https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
206,207,Yuru Camp Movie,"8.39
",https://myanimelist.net/anime/38475/Yuru_Camp△_Movie
207,208,Josee to Tora to Sakana tachi,"8.38
",https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
208,209,Kaze ga Tsuyoku Fuiteiru,"8.38
",https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
209,210,Made in Abyss Movie 2 Hourou Suru Tasogare,"8.38
",https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare
210,211,Chi Chikyuu no Undou ni Tsuite,"8.38
",https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite
211,212,Chihayafuru 2,"8.38
",https://myanimelist.net/anime/14397/Chihayafuru_2
212,213,Cowboy Bebop Tengoku no Tobira,"8.38
",https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
213,214,Fruits Basket Prelude,"8.38
",https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
214,215,Gintama Aizome Kaori hen,"8.38
",https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
215,216,3 gatsu no Lion,"8.37
",https://myanimelist.net/anime/31646/3-gatsu_no_Lion
216,217,Barakamon,"8.37
",https://myanimelist.net/anime/22789/Barakamon
217,218,Cross Game,"8.37
",https://myanimelist.net/anime/5941/Cross_Game
218,219,Haikyuu To the Top,"8.37
",https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
219,220,Kara no Kyoukai Movie 7 Satsujin Kousatsu Go ,"8.37
",https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go
220,221,Mahou Shoujo Madoka Magica,"8.37
",https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
221,222,Mahou Shoujo Madoka Magica Movie 2 Eien no Monogatari,"8.37
",https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari
222,223,Kizumonogatari I Tekketsu hen,"8.36
",https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen
223,224,Kono Subarashii Sekai ni Shukufuku wo 3,"8.36
",https://myanimelist.net/anime/49458/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3
224,225,Mushoku Tensei Isekai Ittara Honki Dasu,"8.36
",https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
